smiles,Bioactivity
O[C@@H]1C\C(=C\C=C\2/[C@@H]3CC[C@H]([C@@H](\C=C\[C@@H](C(C)C)C)C)[C@]3(CCC/2)C)\C(CC1)=C,0
NC(=O)c1cnccn1,1
CCCCC=CC=CC=CCCCCCCCC(O)=O,1
S(=O)(=O)(Nc1nccnc1OC)c1ccc(N)cc1,0
S(=O)(=O)(OC1C(OC2OC(C(OS(=O)(=O)O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)COS(=O)(=O)O)(OC(OS(=O)(=O)O)C1OS(=O)(=O)O)COS(=O)(=O)O)O,1
[H]OC(=O)C([H])([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1([H]))N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])[H])C([H])([H])C2=C([H])C([H])=C(OS(=O)(=O)O[H])C([H])=C2([H]))C([H])(O[H])C([H])([H])[H])C([H])([H])C4=C([H])N([H])C=3C([H])=C([H])C([H])=C([H])C=34)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1C32OO4,1
CC(C)(C)NCC(O)COc1cccc2C(=O)CCCc12,0
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1=O)C(C)O,0
COC1=C2OCOC2=C(OC)C(=C1C)C1=C(OC)C2=C(OCO2)C(OC)=C1C,0
O(C(=O)C=1C(\C(=C(/OCCOC)\O)\C(=NC=1C)C)c1cc([N+](=O)[O-])ccc1)C\C=C\c1ccccc1,1
O1C2CC34C56C(OC(=O)C5O)OC3(C2(O)C(C)C1=O)C(OC4C(O)C6C(C)(C)C)=O,0
S([C@H]1C[C@@H]2N([C@H](C1)CC2)C)CC(=O)O[C@H]1[C@@]2([C@H]3[C@@]([C@H]([C@H](O)[C@](C1)(C)C=C)C)(CC[C@H]2C)CCC3=O)C,0
[H]OC=1C2=C(O[H])C(=C3OC4(OC([H])=C([H])C([H])(OC([H])([H])[H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])(O[H])C([H])(C([H])([H])[H])C([H])(O[H])C([H])(C([H])=C([H])C([H])=C(C(=O)N([H])C=1C(C(=O)C2=C3C4(=O))=C([H])N([H])N5C([H])([H])C([H])([H])N(C([H])([H])C5([H])([H]))C6([H])(C([H])([H])C([H])([H])C([H])([H])C6([H])([H])))C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],1
CC1(C)S[C@H]2[C@@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@@H]1C([O-])=O,0
CCC1=C(CC2NCCc3cc(OC)c(OC)cc23)CC2N(CCc3cc(OC)c(OC)cc23)C1,0
CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1,1
[H]C=1C([H])=C([H])C3=C(C=1([H]))C([H])([H])C([H])([H])C([H])([H])C3([H])(C2=NC([H])([H])C([H])([H])N2([H])),0
O=C1N(CC(OC(=O)N)COCCCC)C(=O)N(CC(OCCCCC)OC(=O)N)C(=O)C1(CC)c1ccccc1,1
